distribution,sign,shock,variable,time,value
Gaussian,neg,eta_e,pihat,6,0.00097487624281385
Gaussian,neg,eta_e,pihat,7,0.000938235763525653
Gaussian,neg,eta_e,pihat,8,0.000911265692875716
Gaussian,neg,eta_e,pihat,9,0.000890719426783837
Gaussian,neg,eta_e,pihat,10,0.00087444860736714
Gaussian,neg,eta_e,pihat,11,0.000861031535714475
Gaussian,neg,eta_e,pihat,12,0.000849527310439954
Gaussian,neg,eta_e,pihat,13,0.00083931315294823
Gaussian,neg,eta_e,pihat,14,0.000829976773353058
Gaussian,neg,eta_e,pihat,15,0.000821245154153631
Gaussian,neg,eta_e,yhat,1,-7.26733515922349e-06
Gaussian,neg,eta_e,yhat,2,-0.000757315291399638
Gaussian,neg,eta_e,yhat,3,-0.00124658769813626
Gaussian,neg,eta_e,yhat,4,-0.00156338252876916
Gaussian,neg,eta_e,yhat,5,-0.0017661217075389
Gaussian,neg,eta_e,yhat,6,-0.00189345961703303
Gaussian,neg,eta_e,yhat,7,-0.00197097141220835
Gaussian,neg,eta_e,yhat,8,-0.00201557835659975
Gaussian,neg,eta_e,yhat,9,-0.00203847585476341
Gaussian,neg,eta_e,yhat,10,-0.00204707079070909
Gaussian,neg,eta_e,yhat,11,-0.00204626337167248
Gaussian,neg,eta_e,yhat,12,-0.00203929526254384
Gaussian,neg,eta_e,yhat,13,-0.00202831075564823
Gaussian,neg,eta_e,yhat,14,-0.00201472806979653
Gaussian,neg,eta_e,yhat,15,-0.00199948502099151
Gaussian,neg,eta_e,ghat,1,-7.26733515922354e-06
Gaussian,neg,eta_e,ghat,2,-0.000750047956240414
Gaussian,neg,eta_e,ghat,3,-0.000489272406736623
Gaussian,neg,eta_e,ghat,4,-0.000316794830632904
Gaussian,neg,eta_e,ghat,5,-0.00020273917876974
Gaussian,neg,eta_e,ghat,6,-0.000127337909494129
Gaussian,neg,eta_e,ghat,7,-7.75117951753175e-05
Gaussian,neg,eta_e,ghat,8,-4.46069443914038e-05
Gaussian,neg,eta_e,ghat,9,-2.2897498163656e-05
Gaussian,neg,eta_e,ghat,10,-8.59493594568142e-06
Gaussian,neg,eta_e,ghat,11,8.07419036609686e-07
Gaussian,neg,eta_e,ghat,12,6.96810912864426e-06
Gaussian,neg,eta_e,ghat,13,1.09845068956029e-05
Gaussian,neg,eta_e,ghat,14,1.35826858517071e-05
Gaussian,neg,eta_e,ghat,15,1.52430488050215e-05
Gaussian,neg,eta_e,rhat,1,0.000612206089258673
Gaussian,neg,eta_e,rhat,2,0.000716438337975365
Gaussian,neg,eta_e,rhat,3,0.000782508062467108
Gaussian,neg,eta_e,rhat,4,0.000823354407461212
Gaussian,neg,eta_e,rhat,5,0.000847538333319723
Gaussian,neg,eta_e,rhat,6,0.000860723968350337
Gaussian,neg,eta_e,rhat,7,0.000866658748484315
Gaussian,neg,eta_e,rhat,8,0.000867821928620184
Gaussian,neg,eta_e,rhat,9,0.000865853671421461
Gaussian,neg,eta_e,rhat,10,0.000861838954751087
Gaussian,neg,eta_e,rhat,11,0.000856495419568601
Gaussian,neg,eta_e,rhat,12,0.000850297659843836
Gaussian,neg,eta_e,rhat,13,0.000843559459204767
Gaussian,neg,eta_e,rhat,14,0.000836488202958655
