distribution,type,parameter,x,density
posterior,deep,OMEGA,-0.0541012875502473,4.69242700251726e-16
posterior,deep,OMEGA,-0.0524804989257979,1.51788304147971e-16
posterior,deep,OMEGA,-0.0508597103013485,6.72205346941013e-16
posterior,deep,OMEGA,-0.049238921676899,2.81892564846231e-16
posterior,deep,OMEGA,-0.0476181330524496,3.94649590784724e-16
posterior,deep,OMEGA,-0.0459973444280002,6.41847686111419e-16
posterior,deep,OMEGA,-0.0443765558035507,3.17454396103756e-16
posterior,deep,OMEGA,-0.0427557671791013,3.86843335142828e-16
posterior,deep,OMEGA,-0.0411349785546519,4.11996825544492e-16
posterior,deep,OMEGA,-0.0395141899302025,4.11996825544492e-16
posterior,deep,OMEGA,-0.037893401305753,6.05418493115906e-16
posterior,deep,OMEGA,-0.0362726126813036,1.33573707650214e-16
posterior,deep,OMEGA,-0.0346518240568542,6.80011602582908e-16
posterior,deep,OMEGA,-0.0330310354324047,8.33534630206856e-15
posterior,deep,OMEGA,-0.0314102468079553,6.96916482856302e-14
posterior,deep,OMEGA,-0.0297894581835059,5.40328198850304e-13
posterior,deep,OMEGA,-0.0281686695590564,3.82232353407508e-12
posterior,deep,OMEGA,-0.026547880934607,2.4694645633927e-11
posterior,deep,OMEGA,-0.0249270923101576,1.45757639898741e-10
posterior,deep,OMEGA,-0.0233063036857081,7.86642697161999e-10
posterior,deep,OMEGA,-0.0216855150612587,3.88579809475209e-09
posterior,deep,OMEGA,-0.0200647264368093,1.75888922098952e-08
posterior,deep,OMEGA,-0.0184439378123598,7.30492886323771e-08
posterior,deep,OMEGA,-0.0168231491879104,2.7876701937839e-07
posterior,deep,OMEGA,-0.015202360563461,9.79052484219138e-07
posterior,deep,OMEGA,-0.0135815719390115,3.17000128315266e-06
posterior,deep,OMEGA,-0.0119607833145621,9.47991713341192e-06
posterior,deep,OMEGA,-0.0103399946901127,2.62357536576449e-05
posterior,deep,OMEGA,-0.00871920606566326,6.73334076038573e-05
posterior,deep,OMEGA,-0.00709841744121384,0.000160614519813812
posterior,deep,OMEGA,-0.00547762881676439,0.00035695857205872
posterior,deep,OMEGA,-0.00385684019231497,0.000741184153509989
posterior,deep,OMEGA,-0.00223605156786552,0.001442421239686
posterior,deep,OMEGA,-0.000615262943416101,0.00264076059382869
posterior,deep,OMEGA,0.00100552568103332,0.00456769385805443
posterior,deep,OMEGA,0.00262631430548277,0.00750005031503214
posterior,deep,OMEGA,0.00424710292993219,0.0117489436465923
posterior,deep,OMEGA,0.00586789155438164,0.0176443673956407
posterior,deep,OMEGA,0.00748868017883106,0.0255130650400787
posterior,deep,OMEGA,0.00910946880328051,0.03564695164313
posterior,deep,OMEGA,0.0107302574277299,0.0482662833165839
